company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""American Express""",729754661213884416,2020-12-05 23:10:10+00:00, ,1335360846361489408,en,2,0,1,0,App for FintechZoom.com,"New article: ""American Express - Ann Arbor woman gives $3,000 from ‘Hamilton’ sweepstakes winnings to COVID-19 relief"" has been published on Fintech Zoom - https://t.co/8caMFyPqKU @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO"
"""American Express""",42159178,2020-12-04 17:43:57+00:00, ,1334916364729872384,en,0,0,0,0,Twitter Web App,"@thehill ""COVID relief is like the American Express card!..."" - Karl Malden's ghost"
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""American International Group""",911779625071759366,2020-07-05 14:13:33+00:00, ,1279780461972054016,en,0,0,0,0,dlvr.it,"Extended Warranty Service for Consumer Electronics Market (Impact of COVID-19) Top Growing Companies: Allianz Global Assistance,American International Group, Inc.,Amtrust Financial Services, Inc.,Asurion LLC,Chubb Limited - Owned https://t.co/6fTZdGtlKo"
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""American Public Education""",21859500,2020-05-15 13:28:51+00:00, ,1261287427861348352,en,2,0,0,0,Twitter Web Client,Betsy Devos wants American public education to be the equivalent of Trump University.  DeVos Funnels Coronavirus Relief Funds to Favored Private and Religious Schools https://t.co/XqEOOUJ5MO
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""American Well""",96549745,2020-04-02 10:52:46+00:00, ,1245665469790482432,en,0,0,2,0,Twitter for iPad,"@Taraustralis You don’t understand how government controlled single payer is more restrictive. I Don’t believe the test cost him $8700. If they charged him, he should appeal. If he’s not American, well Your Insurance wouldn’t cover me in Australia. Uninsured Americans? https://t.co/bp763YJpdd"
"""American Well""",1284506715086446592,2020-10-28 18:49:07+00:00, ,1321524413477478402,en,1,0,0,0,Twitter Web App,"@HillaryClinton Trump didn't fail on Covid - dem govs, who put infected patients in nursing homes did.
McConnell is not to blame for relief bill - Pelosi, who put politics over American well being is to blame!"
"""American Well""",969696893445066759,2020-12-02 20:20:57+00:00, ,1334231097882898432,en,0,0,0,0,Twitter for Android,"@NMalliotakis 
Any comment on your overlord using American well being as a political tool or you ganna play the Republican ""blame someone else"" card?
#CNN 
#MoscowMitch
https://t.co/2JMmb7KEGS"
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""Americold""",2861716314,2020-09-09 16:44:59+00:00, ,1303736169323204608,en,0,0,0,0,HubSpot,"As @feedthechildren assists the most vulnerable communities, we are #AmericoldPROUD to fill a critical need during the pandemic. @RandFF highlights our work to provide complimentary temp-controlled transportation services to families who need it most: https://t.co/3MSW1IBfJo"
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""Ameriprise Financial""",166539231,2020-04-09 23:23:18+00:00, ,1248391065654063104,en,0,0,0,0,PressReleasePoint.Com,"https://t.co/s9tulCroPZ Ameriprise Financial Fast-Tracks Charitable Giving and Provides Additional $125,000 in Hunger-Relief Grants in Response to COVID-19 Pandemic"
"""Ameriprise Financial""",1134049078424162304,2020-04-09 18:27:21+00:00, ,1248316586332688384,en,0,0,0,0,Newsfilter.io,"Ameriprise Financial Fast-Tracks Charitable Giving and Provides Additional $125,000 in Hunger-Relief Grants in Response to COVID-19 Pandemic $AMP #coronavirus #COVID2019 https://t.co/UBzscdV3h9"
"""Ameriprise Financial""",472650465,2020-04-09 14:12:43+00:00, ,1248252505168936971,en,0,0,0,0,OTC Dynamics Twitter Login,"$AMP Ameriprise Financial Fast-Tracks Charitable Giving and Provides Additional $125,000 in Hunger-Relief Grants in https://t.co/bUJBjugkyR"
"""Ameriprise Financial""",3318510966,2020-04-09 14:11:57+00:00, ,1248252312528678912,en,0,0,0,0,CRWE World,"Ameriprise Financial Fast-Tracks Charitable Giving and Provides Additional $125,000 in Hunger-Relief Grants in Respo https://t.co/afVDoYaEJO"
"""Ameriprise Financial""",1069693680066420736,2020-04-09 14:05:47+00:00, ,1248250759457550337,en,0,0,0,0,flashalerts,"$AMP: Issued Press Release on April 09, 10:00:00: Ameriprise Financial Fast-Tracks Charitable Giving and Provides Additional $125,000 in Hunger-Relief Grants in Response to COVID-19 Pandemic https://t.co/1eDzSmJeUP"
"""Ameriprise Financial""",126100568,2020-05-01 14:14:05+00:00, ,1256225384028389379,en,2,0,0,0,Twitter Web App,".@Ameriprise is allocating an additional $100K in #COVID19 relief to Feeding America and $25K to Global FoodBanking Network. It is also accelerating its corporate donation schedule, making $2.5M available immediately to nonprofits. https://t.co/JLV62mPHrW #MeetingTheMoment https://t.co/ph4IWwSBwW"
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
