company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""adobe""",117890155,2020-03-20 16:56:47+00:00, ,1241046035637534721,en,1,0,0,0,Twitter Web App,Adobe is proud to announce a $3 million commitment to trusted organizations that are providing vital assistance to our neighbours – locally and globally. https://t.co/X8ddX1iYNQ
"""adobe""",15687937,2020-03-20 16:27:11+00:00, ,1241038587002359808,en,13,0,0,6,Twitter for iPhone,"Really happy to work for a company that supports the community during tough times. Adobe is donating $2 million to COVID-19 relief organizations, and matching employee donations 2:1. 😍 https://t.co/TtiAtloygD"
"""adobe""",63786611,2020-03-20 16:14:09+00:00, ,1241035309200048136,en,153,16,4,50,Hootsuite Inc.,Many around the world are facing challenges in meeting their basic needs. We are proud to announce a $3 million commitment to trusted organizations that are providing vital assistance to our neighbors—locally and globally. https://t.co/R0pH8gGUaR
"""adobe""",231750500,2020-03-20 01:07:14+00:00, ,1240807073572630529,en,2,0,0,0,Fenix 2,"2 months of #AdobeCC by @Adobe  for free. 3 months of #Affinity by @affinitybyserif for free. 
 #CoronaVirus relief for creatives."
"""adobe""",76785769,2020-03-18 18:22:46+00:00, ,1240342898786414593,en,1,1,0,0,Twitter Web App,Companies! Is now REALLY the time to update your terms of use (unless it's to provide COVID relief)? I'm looking at you @Adobe and you too @PayPal.
"""adobe""",33843961,2020-03-18 17:43:18+00:00, ,1240332968192851971,en,2,0,0,0,Twitter Web App,Thank you @Adobe  for COVID time relief on the Adobe Suite. Thanks for reducing the burden on the #freelancer wallet during the #Coronavirus pandemic. https://t.co/jcdmCGj7Gs
"""adobe""",15355706,2020-03-18 09:21:45+00:00, ,1240206748377583616,en,1,0,0,0,Twitter Web App,This works. Some relief for fellow freelancers during the pandemic. Creative Cloud also free to students working from home until May: https://t.co/A4KhfvCvmz https://t.co/Ma4QQlb4G2
"""adobe""",14112296,2020-04-28 01:45:02+00:00, ,1254949716246384642,en,2,0,0,1,Hootsuite Inc.,The campaign will see creatives express gratitude through original works https://t.co/heA2DGwjl0
"""adobe""",897477962,2020-04-27 11:45:59+00:00, ,1254738562622291968,en,0,0,0,0,LaterMedia,"The sun was shining over the weekend, but many are weathering a financial storm… If you work in the UK furnishing industry and are in need of support to cover your bills, our emergency COVID-19 fund can bring quick relief. https://t.co/PgxVip9fkb #charity #charitysupport https://t.co/dYNPDTmQ2u"
"""adobe""",14112296,2020-04-25 02:00:10+00:00, ,1253866360242950144,en,10,0,0,3,Hootsuite Inc.,You can also take part in this project https://t.co/qHOo75oXzM
"""adobe""",1228001284017377280,2020-04-24 19:52:06+00:00, ,1253773731844907008,en,14,0,1,9,Twitter for iPhone,"OUR 2ND FOOD &amp; SUPPLY DRIVE IS HAPPENING RIGHT NOW!! 
FRI: 10am-6pm
Drop off: Verano Pl Basketball Court (6529 Adobe Cir Rd, S)
Pick up option avail! 
Check out https://t.co/ZV2XYUZecC 4 more info, mutual aid &amp; COVID-19 Resources @gillianmhayes @UCIrvine @ucinewforum @reclaimuc https://t.co/7b1fJN7Vm8"
"""adobe""",14112296,2020-04-24 02:30:04+00:00, ,1253511495398367243,en,1,0,0,1,Hootsuite Inc.,The campaign will see creatives express gratitude through original works https://t.co/Hn96gvrMUR
"""adobe""",225145923,2020-04-23 20:22:38+00:00, ,1253419029437399043,en,1,0,0,0,Twitter Web App,"Check out this helpful #COVID19 pandemic Food Assistance Guide from the office of @RepSpanberger. 🍏
🔗: https://t.co/ZT3AsC6FlL. 

#PeopleInc https://t.co/j9qS5IDmcY"
