company names
"""China Electronics"""
"""China Electronics Technology Group"""
"""China Energy Engineering Group"""
"""China Energy Investment"""
"""China Everbright Group"""
"""China Evergrande Group"""
"""China General Technology"""
"""China Huadian"""
"""China Life"""
"""China Merchants Bank"""
"""China Merchants Group"""
"""China Minmetals"""
"""China Minsheng Banking"""
"""China Mobile"""
"""China National Building Material"""
"""China National Coal Group"""
"""China National Nuclear"""
"""China National Offshore Oil"""
"""China National Petroleum"""
"""China North Industries """
"""China Pacific Insurance"""
"""China Poly"""
"""China Post"""
"""China Railway Construction"""
"""China Railway Engineering"""
"(""China Reinsurance"" OR ""China Re"")"
"""China Resources"""
"""China Resources Land"""
"""China South Industries Group"""
"""China Southern Power Grid"""
"""China State Construction Engineering"""
"""China State Shipbuilding"""
"""China Taiping Insurance"""
"""China Telecom"""
"""China Unicom"""
"""China Vanke"""
"""Christian Dior"""
"""CHS Inc"""
"""Chubb"""
"""Chubu Electric Power"""
"""Cigna"""
"""Cisco"""
"""CITIC"""
"""Citigroup"""
"(""CJ Corp."" OR ""CJ Group"")"
"""CK Hutchison"""
"""CMA CGM"""
"""Coca-Cola"""
"""COFCO"""
"""Coles Group"""
"""Comcast"""
"""Commonwealth Bank of Australia"""
"""Compal Electronics"""
"""Compass Group"""
"""Continental AG"""
"""Coop Group"""
"""COSCO Shipping"""
"""Costco"""
"""Couche-Tard"""
"""Country Garden"""
"""Crédit Agricole"""
"""Credit Suisse Group"""
"""CRH"""
"""CRRC Group"""
"(""CVS Health"" OR ""CVS Pharmacy"")"
"""Dai-ichi Life"""
"""Daimler"""
"""Daiwa House"""
"""Danone"""
"""Dell"""
"""Denso"""
"""Deutsche Bahn"""
"""Deutsche Bank"""
"(""Deutsche Post"" OR ""DHL"")"
"""Deutsche Telekom"""
"""Dollar General"""
"""Dollar Tree"""
"""Dongfeng Motor"""
"""Dow"""
"""DZ Bank"""
"""E.ON"""
"""Edeka"""
"""Electricité de France"""
"""Eli Lilly"""
"""Enbridge"""
"""Enel"""
"""ENEOS"""
"""Energy Transfer"""
"""Engie"""
"""ENI"""
"""Enterprise Products Partners"""
"""Equinor"""
"""Ericsson"""
"""Exelon"""
"""EXOR"""
"""Exxon Mobil"""
"""Facebook"""
"""Fannie Mae"""
"""FAW Group"""
"""FedEx"""
"(""Financière de l'Odet"" OR ""Compagnie de l'Odet"")"
"""Finatis"""
"""Flex Ltd"""
"""Ford Motor"""
"""Fortum"""
"""Freddie Mac"""
"""Fresenius"""
"""Fubon Financial"""
"""Fujitsu"""
"""Gazprom"""
"""Geely"""
"""General Dynamics"""
"""General Electric"""
"""General Motors"""
"""Generali"""
"""George Weston"""
"""Gilead Sciences"""
"""GlaxoSmithKline"""
"""Glencore"""
"""Goldman Sachs"""
"""Gree Electric"""
"(""Greenland Holdings"" OR ""Greenland Group"")"
"(""Groupe BPCE"" OR ""BPCE"")"
"""Guangxi Investment Group"""
"""Guangzhou Automobile"""
"""Guangzhou Municipal Construction Group"""
"""Guangzhou Pharmaceutical Holdings"""
"""Haier"""
"""Hailiang Group"""
"""Hanwha"""
"""HBIS"""
"""HCA Healthcare"""
"""Hengli Group"""
"""Heraeus"""
"""Hewlett Packard"""
"""Hitachi"""
"""Holcim"""
"""Home Depot"""
"(""Hon Hai Precision Industry"" OR ""Foxconn"")"
"""Honda Motor"""
"""Honeywell International"""
"(""HP"" OR ""Hewlett-Packard"" OR ""Hewlett Packard"")"
"""HSBC Holdings"""
"""Huaneng"""
"""Huawei"""
"""Huayang New Material Technology Group"""
"""Humana"""
"""Hyundai"""
"""Hyundai Mobis"""
"""Iberdrola"""
"""Idemitsu Kosan"""
"""Indian Oil"""
"""Industrial & Commercial Bank of China"""
"""Industrial Bank"""
"""ING"""
"(""Ingka"" OR ""IKEA"")"
"""Intel"""
"(""International Business Machines"" OR ""IBM"")"
"""Intesa Sanpaolo"""
"(""Itaú Unibanco"" OR ""Itaú BBA"")"
"""Itochu"""
"""J. Sainsbury"""
"""Jabil"""
"""Japan Post"""
"""Jardine Matheson"""
"(""JBS Foods"" OR ""JBS SA"")"
"""JD.com"""
"""JFE Holdings"""
"""Jiangxi Copper"""
"""Jinchuan Group"""
"""Jingye Group"""
"""Jinneng Group"""
"""John Deere"""
"""Johnson & Johnson"""
"""JPMorgan Chase"""
"""Kansai Electric Power"""
"(""KB Financial Group"" OR ""KB Kookmin Bank"")"
"""KDDI"""
"""Kia"""
"""Koç Holding"""
"(""Korea Electric Power"" OR ""KEPCO"")"
"(""Kraft"" OR "" Heinz"")"
"""Kroger"""
"""L'Oréal"""
"""La Poste"""
"""Legal & General Group"""
"""Lenovo"""
"""LG Chem"""
"""LG Electronics"""
"""Liberty Mutual """
"""Linde"""
"""Lloyds Banking"""
"""Lockheed Martin"""
"(""Longfor Group"" OR ""Longfor Properties"")"
"""Louis Dreyfus"""
"""Lowe's Home"""
"""Lukoil"""
"""LyondellBasell"""
"""M"""
"""Maersk"""
"""Magna International"""
"""Manulife Financial"""
"""Mapfre"""
"""Marathon Petroleum"""
"""Marubeni"""
"""Mazda"""
"""McKesson"""
"(""Medipal Holdings"" OR ""Mediceo Paltac"")"
"""Medtronic"""
"""Meiji Yasuda Life"""
"""Merck"""
"""MetLife"""
"""Metro"""
"""Microsoft"""
"""Midea Group"""
"""Migros"""
"""Mitsubishi"""
"""Mitsubishi Chemical Holdings"""
"""Mitsubishi Electric"""
"""Mitsubishi Heavy Industries"""
"""Mitsubishi UFJ Financial Group"""
"""Mitsui"""
"""Mizuho Financial Group"""
"""Mondelez"""
"""Morgan Stanley"""
"""MS&AD Insurance Group"""
"(""Munich Re"" OR ""Münchener Rück"")"
"""Nationwide"""
"""NEC"""
"""Nestlé"""
"""Netflix"""
"""New China Life Insurance"""
"(""New Hope Holding Group"" OR ""New Hope Corporation"")"
"""New York Life"""
"""Nike"""
"""Nippon Life"""
"""Nippon Steel"""
"""Nippon Telegraph and Telephone"""
"""Nissan"""
"""Nokia"""
"""Northrop Grumman"""
"""Northwestern Mutual"""
"""Novartis"""
"""Oil & Natural Gas"""
"""Olam International"""
"""Oracle"""
"""Orange"""
"""Pacific Construction Group"""
"""Panasonic"""
"""Pegatron"""
"""Pemex"""
"""People's Insurance Co. of China"""
"""PepsiCo"""
"""Performance Food Group"""
"""Pertamina"""
"""Petrobras"""
"""Petronas"""
"""Pfizer"""
"""Philip Morris"""
"""Phillips Corporation"""
"""Phoenix Group"""
"""Phoenix Pharma"""
"""Ping An Insurance"""
"""POSCO"""
"""Poste Italiane"""
"""Power Corp. of Canada"""
"(""PowerChina"" OR ""Power Construction Corporation of China"")"
"""Procter & Gamble"""
"""Progressive Corp"""
"""Prudential"""
"""Prudential Financial"""
"""PTT Public Company Limited"""
"""Publix Super Markets"""
"""Quanta Computer"""
"""Rajesh Exports"""
"""Raytheon Technologies"""
"""Reliance Industries"""
"""Renault"""
"""Repsol"""
"""Rio Tinto Group"""
"""Rite Aid"""
"""Roche"""
"""Rosneft"""
"""Royal Bank of Canada"""
"""Royal Dutch Shell"""
"""SAIC Motor"""
"""Saint-Gobain"""
"""Samsung C&T"""
"""Samsung Electronics"""
"""Samsung Life Insurance"""
"""Sanofi"""
"""SAP"""
"""Sberbank"""
"""Schneider Electric"""
"""Seven & I"""
"""Shaanxi Coal and Chemical Industry"""
"""Shaanxi Yanchang Petroleum"""
"""Shagang Group"""
"""Shandong Energy"""
"""Shandong Iron and Steel"""
"""Shandong Weiqiao Pioneering"""
"""Shanghai Construction Group"""
"""Shanghai Pharmaceuticals"""
"""Shanghai Pudong Development Bank"""
"""Shanxi Coking Coal Group"""
"""Shenghong Holding Group"""
"""Shenzhen Investment Holdings"""
"""Shougang Group"""
"""Siemens"""
"""Siemens Energy"""
"""Sinochem"""
"""Sinomach"""
"""Sinopec"""
"""Sinopharm"""
"""SK Group"""
"""SK Hynix"""
"""SNCF Group"""
"""Société Générale"""
"""SoftBank"""
"""Sompo"""
"""Sony"""
"""State Bank of India"""
"""State Farm"""
"""State Grid"""
"""State Power Investment"""
"""StoneX Group"""
"""Subaru"""
"""Sumitomo"""
"""Sumitomo Electric Industries"""
"""Sumitomo Life"""
"""Sumitomo Mitsui Financial Group"""
"""Sun Life"""
"""Sunac China Holdings"""
"""Suning.com"""
"""Suzuki"""
"""Swiss Re"""
"""Synnex"""
"""Sysco"""
"(""Taikang Insurance Group"" OR ""Taikang Life Insurance"")"
"(""Taiwan Semiconductor Manufacturing"" OR ""TSMC"")"
"""Takeda"""
"""Talanx"""
"""Target Corporation"""
"""Tata Motors"""
"""Telefónica"""
"""Tencent"""
"""Tesco"""
"""Tesla"""
"""Thermo Fisher Scientific"""
"""ThyssenKrupp"""
"""TIAA"""
"""TJX"""
"""Tokio Marine"""
"""Tokyo Electric Power"""
"""TongLing Nonferrous Metals Group"""
"""Toronto-Dominion Bank"""
"""Toshiba"""
"""TotalEnergies"""
"""Toyota"""
"""Toyota Tsusho"""
"""Trafigura Group"""
"""Travelers Insurance"""
"""Truist Financial"""
"""Tsingshan Holding Group"""
"""Tyson Foods"""
"""U.S. Bancorp"""
"(""U.S. Postal Service"" OR ""USPS"")"
"""UBS Group"""
"""UniCredit"""
"""Unilever"""
"""United Natural Foods"""
"(""United Parcel Service"" OR ""UPS"")"
"""UnitedHealth"""
"""USAA"""
"""Vale S.A."""
"""Valero Energy"""
"""Veolia Environnement"""
"""Verizon Communications"""
"""ViacomCBS"""
"""Vinci SA"""
"""Vodafone"""
"""Volkswagen"""
"""Volvo"""
"""Walgreens Boots Alliance"""
"""Walmart"""
"""Walt Disney"""
"""Weichai Power"""
"""Wells Fargo"""
"""WH Group"""
"""Wilmar International"""
"""Wistron"""
"""Woolworths Group"""
"""Wuchan Zhongda Group"""
"""X Retail Group"""
"""Xiamen C&D"""
"""Xiamen ITG Holding Group"""
"""Xiaomi"""
"(""Xinjiang Guanghui Industry Investment"" OR ""Guanghui Group"")"
"(""XMXYG"" OR ""Xiamen Xiangyu Group"")"
"""Yango Longking Group"""
"""Yunnan Provincial Investment Holding Group"""
"""ZF Friedrichshafen"""
"""Zhejiang Communications Investment Group"""
"""Zhejiang Hengyi """
"""Zhejiang Rongsheng Holding Group"""
"""Zijin Mining"""
"""Zurich Insurance"""
